1;Aveiro;700964;2808
2;Açores;236657;2333
3;Braga;846515;2673
4;Bragança;122833;6608
5;Beja;144410;10263
6;CasteloBranco;177912;6675
7;Coimbra;408631;3947
8;Évora;152436;7393
9;Faro;467495;4960
10;Guarda;143019;5518
11;Lisboa;2275591;2761
12;Leiria;458679;3515
13;Madeira;251060;801
14;Porto;1786656;2395
15;Portalegre;104989;6065
16;Santarem;425431;6747
17;Setúbal;875656;5064
18;VianadoCastelo;231488;2255
19;VilaReal;185878;4328
20;Viseu;351592;5007
